id,name,types,primaryType,primaryTypeDisplayName,businessStatus,pureServiceAreaBusiness,formattedAddress,location,city
ChIJ4R9df-ehnkcRL_SAAKiA8Yc,"{'text': 'Restaurant Kebaboss', 'languageCode': 'de'}","['turkish_restaurant', 'fast_food_restaurant', 'meal_delivery', 'food_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",turkish_restaurant,"{'text': 'Turkish restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Bahnhofpl. 6, 86399 Bobingen, Germany","{'latitude': 48.2667649, 'longitude': 10.8378404}",Augsburg
ChIJnYfdm8ChnkcREUY4P85oV6g,"{'text': 'Oriental Imbiss', 'languageCode': 'de'}","['turkish_restaurant', 'fast_food_restaurant', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",turkish_restaurant,"{'text': 'Turkish restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Königsbrunner Str. 2A, 86399 Bobingen, Germany","{'latitude': 48.264160499999996, 'longitude': 10.8392006}",Augsburg
ChIJByawSwChnkcRHnnii4jmmkk,"{'text': 'Burger King Bobingen', 'languageCode': 'de'}","['fast_food_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",fast_food_restaurant,"{'text': 'Fast food restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Königsbrunner Str. 3, 86399 Bobingen, Germany","{'latitude': 48.264864300000006, 'longitude': 10.838857100000002}",Augsburg
ChIJu2t8Q9ChnkcRPhqYCQytLvA,"{'text': 'Sieben Tische & Ein Ziel', 'languageCode': 'en'}","['breakfast_restaurant', 'hotel', 'bed_and_breakfast', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",breakfast_restaurant,"{'text': 'Breakfast restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Hans-Sachs-Straße 19, 86399 Bobingen, Germany","{'latitude': 48.2677694, 'longitude': 10.847672099999999}",Augsburg
ChIJtw2n9MGhnkcRoyv6Jo9hK5Q,"{'text': 'Vinzenzmurr Metzgerei - Bobingen', 'languageCode': 'de'}","['butcher_shop', 'fast_food_restaurant', 'grocery_store', 'food_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",butcher_shop,"{'text': 'Butcher shop', 'languageCode': 'en'}",OPERATIONAL,,"Gutenbergstraße 4, 86399 Bobingen, Germany","{'latitude': 48.2656397, 'longitude': 10.844762}",Augsburg
ChIJjxywEkGfnkcR6mOa3Hxv1lg,"{'text': 'Osteria Sale e Pepe', 'languageCode': 'de'}","['italian_restaurant', 'pizza_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",italian_restaurant,"{'text': 'Italian restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Bürgermeister-Wohlfarth-Straße 89, 86343 Königsbrunn, Germany","{'latitude': 48.266171, 'longitude': 10.8868157}",Augsburg
ChIJdyNP4EGfnkcRDkVj2RsxX_g,"{'text': 'Asia House Königsbrunn', 'languageCode': 'de'}","['asian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",asian_restaurant,"{'text': 'Asian restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Landsberger Str. 7b, 86343 Königsbrunn, Germany","{'latitude': 48.2632736, 'longitude': 10.885505}",Augsburg
ChIJgXOjYkCfnkcRhZHDPyzyKNA,"{'text': 'Griaß Di', 'languageCode': 'de'}","['pub', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",pub,"{'text': 'Pub', 'languageCode': 'en'}",OPERATIONAL,,"Gutenbergpl. 1, 86343 Königsbrunn, Germany","{'latitude': 48.265170999999995, 'longitude': 10.890227699999999}",Augsburg
ChIJfwhUOwCfnkcRrg0lqHG1Upw,"{'text': 'Café Mozart', 'languageCode': 'de'}","['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"{'text': 'Restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Bürgermeister-Wohlfarth-Straße 98, 86343 Königsbrunn, Germany","{'latitude': 48.265295699999996, 'longitude': 10.8858097}",Augsburg
ChIJIb0vSUGfnkcRBfm5uH8zyFg,"{'text': 'ZELLER´s Quartier', 'languageCode': 'de'}","['hotel', 'lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",hotel,"{'text': 'Hotel', 'languageCode': 'en'}",OPERATIONAL,,"Bürgermeister-Wohlfarth-Straße 78, 86343 Königsbrunn, Germany","{'latitude': 48.267634, 'longitude': 10.886785000000001}",Augsburg
