restaurant_id,city_id,name,primary_type,types,business_status,pure_service_area,address,lat_value,long_value
ChIJDYtwInffnUcR-Uac4457AJE,6,Loco Chicken | Pullach im Isartal,meal_takeaway,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Pullacher Str. 26, 82049 Pullach im Isartal, Germany",48.072696799999996,11.5368248
ChIJDa_2Uz_enUcRqYFYbKTc3Mc,6,Die Waldeslust,restaurant,"['bar_and_grill', 'catering_service', 'food_delivery', 'event_venue', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Gartenstraße 2, 82008 Unterhaching, Germany",48.0763021,11.602955699999999
ChIJcyP9RDjenUcRwRivYpqU_HM,6,Ho Restaurant - Vietnamesische Spezialitäten,vietnamese_restaurant,"['vietnamese_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Parkstraße 15, 82008 Unterhaching, Germany",48.079344,11.606164
ChIJ2X7YLLXfnUcRlnwfcHzIWTE,6,KaSa Bistro,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Parkstraße 21, 82008 Unterhaching, Germany",48.0796795,11.6063087
ChIJJd7rFpffnUcRCgIHpuGz8WA,6,Donatello Eiscafé & Pizzeria,restaurant,"['restaurant', 'pizza_restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Münchner Str. 121, 82008 Unterhaching, Germany",48.073542499999995,11.6042746
ChIJT2i9W84NdkcRuYDK8bfSotA,6,"Bella Mondo, Veranstaltungen, Catering, Golf",,"['golf_course', 'italian_restaurant', 'wedding_venue', 'athletic_field', 'sports_activity_location', 'event_venue', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Fasanenstraße 145, 82008 Unterhaching, Germany",48.079029,11.607203799999999
ChIJVVUFVD_enUcROKl3_KoUnfw,6,My Gads Gmbh,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Waldeslust, Gartenstraße 2, 82008 Unterhaching, Germany",48.0762922,11.602877399999999
ChIJb84lWz_fnUcRSM__pgYPhFQ,6,Orients Gemüse Kebap - Döner Unterhaching,restaurant,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Münchner Str. 121, 82008 Unterhaching, Germany",48.073453699999995,11.604656100000001
ChIJwXjjIyPenUcR5Do1dyXhTS8,6,Wirtshaus am Sportpark,restaurant,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Am Sportpark 9, 82008 Unterhaching, Germany",48.0730991,11.615544499999999
ChIJHS2vnMnYnUcR2WkYy0VHHn0,6,Tanzschule München Tanzhaus emotion ADTV,,"['bar', 'restaurant', 'food', 'point_of_interest', 'sports_club', 'establishment']",OPERATIONAL,,"Biberger Str. 91, 82008 Unterhaching, Germany",48.0733528,11.6200113
ChIJ_xCPfTrenUcRyTvAmN_2n1A,6,Diepold Store,meal_takeaway,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Am Campeon Haus 6, 85579 Neubiberg, Germany",48.079081099999996,11.616678700000001
ChIJ6_znViLenUcR1UJKFcjA45I,6,American Burger Bar,american_restaurant,"['american_restaurant', 'hamburger_restaurant', 'meal_takeaway', 'fast_food_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Am Sportpark 3, 82008 Unterhaching, Germany",48.0717207,11.618476500000002
ChIJx_JqRZ3gnUcR3moF5quaHGI,6,UniCasino,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"61, Werner-Heisenberg-Weg 39, 85579 Neubiberg, Germany",48.078142799999995,11.630106099999999
ChIJjf0BDI_gnUcRKdj_0ozvnR4,6,Little Italy - Pizza & Pasta,italian_restaurant,"['italian_restaurant', 'pizza_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"Bamerstraße 1, 85579 Neubiberg, Germany",48.0800098,11.645597299999999
ChIJ3U7fuo7gnUcRK7tqnMuZjw4,6,Minoa Restaurant,greek_restaurant,"['greek_restaurant', 'mediterranean_restaurant', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"Zwergerstraße 28, 85579 Neubiberg, Germany",48.0810203,11.6494235
ChIJSdwUpoXgnUcRkCCXGrNoFNI,6,Restaurant Brandl,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"Unterbiberg, 85579 Neubiberg, Germany",48.080428,11.6413554
ChIJDYaGuY7gnUcRENnDcsZstpU,6,Gasthaus Sportpark Neubiberg,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"Zwergerstraße, 85579 Neubiberg, Germany",48.081119,11.6493448
ChIJ3VFqxo3gnUcRW1kvQID2T9Y,6,El Greco,greek_restaurant,"['greek_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"Werner-Heisenberg-Weg 2, 85579 Neubiberg, Germany",48.0785847,11.651103299999999
ChIJMUgfsI3gnUcReCVCs5zQjlw,6,Bar&Pizzeria da Giovanni,pizza_restaurant,"['pizza_restaurant', 'italian_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"Äußere Hauptstraße 28, 85579 Neubiberg, Germany",48.07857130000001,11.651966199999999
ChIJkcVzgvLgnUcRWHbmt03YlRg,6,Gyros Kebap,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"85579 Neubiberg, Germany",48.076005699999996,11.657828199999999
ChIJA_8p_RLhnUcRcRjOyNAgopA,6,Da Noi - Pizzeria und Ristorante,pizza_restaurant,"['pizza_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"Prof.-Messerschmitt-Straße 1, 85579 Neubiberg, Germany",48.0757622,11.6568686
ChIJlZFUrI3gnUcRYpcREp7cwZ0,6,Z. B. Gastronomiebetriebs Gesellschaft m.b.H.,greek_restaurant,"['greek_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"Ilmstraße 3B, 85579 Neubiberg, Germany",48.0788812,11.652356600000001
ChIJmyNW7vHgnUcRkamBfPgl6ks,6,die 2 restaurant cafe bar lounge,restaurant,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Hauptstraße 15, 85579 Neubiberg, Germany",48.0762834,11.6628092
ChIJW6o1xvrgnUcRYIXv-VpXFwY,6,Happy Asia,asian_restaurant,"['asian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Hauptstraße 47, 85579 Neubiberg, Germany",48.075333,11.669744399999999
ChIJG7qeOMzhnUcRjioM9bNyDd4,6,Pink Bar & Restaurant,restaurant,"['restaurant', 'pizza_restaurant', 'meal_delivery', 'food_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Hauptstraße 45, 85579 Neubiberg, Germany",48.0753924,11.6696371
ChIJiQqAm4zhnUcRNIwpFAjbCNw,6,Jammy Steinofenpizza Neubiberg,pizza_restaurant,"['pizza_restaurant', 'meal_delivery', 'food_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Hauptstraße 45, 85579 Neubiberg, Germany",48.075388600000004,11.6696168
ChIJ841G3PHgnUcRxxSOKHuFAUc,6,Lieblingsplatz Neubiberg,cafe,"['cafe', 'breakfast_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Hauptstraße 14, 85579 Neubiberg, Germany",48.075809199999995,11.663497399999999
ChIJjzIU7fLhnUcR_cVJFaqKs9Y,6,Ladencafé Röstoff in Neubiberg,cafe,"['cafe', 'breakfast_restaurant', 'food_store', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",OPERATIONAL,,"Hauptstraße 7, 85579 Neubiberg, Germany",48.07670830000001,11.6610674
ChIJ1Zka2O_gnUcRZkAA7rMDw08,6,Vinzenzmurr Metzgerei - Neubiberg,butcher_shop,"['butcher_shop', 'fast_food_restaurant', 'grocery_store', 'food_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",OPERATIONAL,,"Hauptstraße 28B, 85579 Neubiberg, Germany",48.0753506,11.665769899999999
ChIJs0FWPtDhnUcRJaw8o0m-WF8,6,Lu Salentinu - Ristorante e Bruschetteria,restaurant,"['restaurant', 'mediterranean_restaurant', 'italian_restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Hauptstraße 63, 85579 Neubiberg, Germany",48.0751998,11.672840299999999
ChIJJ5coOPrgnUcRiE9rzEIhTKY,6,Wirtshaus Leiberheim,bar,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Nixenweg 9, 81739 München, Germany",48.0788746,11.671995599999999
ChIJ27_vb8RznkcRnP-1CgUJJ-E,6,Curry-O-City,indian_restaurant,"['indian_restaurant', 'catering_service', 'food_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Rübezahlstraße 45, 81739 München, Germany",48.0803826,11.6736917
ChIJv3zfJ_vgnUcR1vjSSCMa4rI,6,Eiscafé Delfino,ice_cream_shop,"['ice_cream_shop', 'meal_takeaway', 'dessert_shop', 'confectionery', 'restaurant', 'food_store', 'store', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Hauptstraße 55, 85579 Neubiberg, Germany",48.0751673,11.6715685
ChIJ-UykkWjhnUcRBjJFgQyjvOU,6,Catering-Osvaldo,catering_service,"['catering_service', 'chocolate_shop', 'candy_store', 'pizza_restaurant', 'steak_house', 'fine_dining_restaurant', 'bakery', 'food_delivery', 'italian_restaurant', 'dessert_shop', 'confectionery', 'fast_food_restaurant', 'restaurant', 'wholesaler', 'food_store', 'store', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Walkürenstraße 23A, 85579 Neubiberg, Germany",48.0762885,11.6825868
ChIJYSxiANHhnUcRJUNJArKlbNU,6,The Mediterranean,mediterranean_restaurant,"['mediterranean_restaurant', 'greek_restaurant', 'pizza_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"Putzbrunner Str. 134, 85521 Ottobrunn, Germany",48.072634,11.691815199999999
ChIJ5aSOOADhnUcRs2-Jk7nOOas,6,Aram Döner,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"Münchner Str. 83, 85640 Putzbrunn, Germany",48.081196299999995,11.6934869
ChIJ7155WwXhnUcRbwOhXW4vX3k,6,Bäckerei Konditorei Fischerkeller,bakery,"['bakery', 'breakfast_restaurant', 'dessert_shop', 'confectionery', 'wholesaler', 'cafe', 'restaurant', 'point_of_interest', 'food_store', 'store', 'food', 'establishment']",OPERATIONAL,,"Ottobrunner Str. 37, 85640 Putzbrunn, Germany",48.0733622,11.692793799999999
ChIJZ8A8BXfhnUcRk5Bv2QmzRw0,6,Anhs Viet,vietnamese_restaurant,"['vietnamese_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"Hermann-Oberth-Straße 2, 85640 Putzbrunn, Germany",48.076699999999995,11.71866
ChIJmfE8m-_hnUcR5HZ_SOClCWQ,6,San Daniele,italian_restaurant,"['italian_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"Grasbrunner Str. 18, 85640 Putzbrunn, Germany",48.0786989,11.7202442
ChIJ52ojC4zhnUcRgioY9I6S5Hw,6,Reil’s Restaurant & Catering,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"Hohenbrunner Str. 3, 85640 Putzbrunn, Germany",48.074112,11.714946999999999
ChIJeyEBuPrhnUcRGl20IjPS57Y,6,Fillion Cafe Hotel Restaurant,restaurant,"['restaurant', 'greek_restaurant', 'hotel', 'lodging', 'cafe', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"Glonner Str. 13, 85640 Putzbrunn, Germany",48.077223599999996,11.714580200000002
ChIJoY9WOHThnUcRe03i_xRSDHA,6,Pizza Punjabi,meal_delivery,"['asian_restaurant', 'pizza_restaurant', 'fast_food_restaurant', 'indian_restaurant', 'meal_delivery', 'food_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"Glonner Str. 7a, 85640 Putzbrunn, Germany",48.077048,11.713491999999999
ChIJjZslhHbhnUcRlIrM4Rm311I,6,Karawan,restaurant,"['restaurant', 'fast_food_restaurant', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"Haarer Str. 4, 85640 Putzbrunn, Germany",48.077207400000006,11.7155937
ChIJzZinXB7hnUcRTSuCce8ikjc,6,Putzbrunner Sportgaststätte,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"Glonner Str., 85640 Putzbrunn, Germany",48.0731907,11.7225687
ChIJJ84WgF3RnUcRzwI1UC-d9WU,6,Clubhouse Grill & Bar Restaurant,bar_and_grill,"['bar_and_grill', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Gautinger Str. 20, 82131 Gauting, Germany",48.0883502,11.4039421
ChIJOX0-eULXnUcRvlk4nZxRTHk,6,Restaurant Singh,pizza_restaurant,"['pizza_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Baierpl. 7, 82131 Gauting, Germany",48.091038499999996,11.4075552
ChIJL0foFCbXnUcRG7Aa6vXJobY,6,Wirzhaus,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Baierpl. 2, 82131 Gauting, Germany",48.0915928,11.4081546
ChIJVQcm2WnXnUcRBLv5QBT2Aqs,6,Kim5 Vietnam - Gauting,restaurant,"['restaurant', 'vietnamese_restaurant', 'asian_restaurant', 'meal_takeaway', 'sushi_restaurant', 'japanese_restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Baierpl. 1, 82131 Gauting, Germany",48.0914835,11.407017
ChIJ9Z8CK2jXnUcRYoeUfKLs7Hc,6,Konditorei Harter,bakery,"['breakfast_restaurant', 'bakery', 'dessert_shop', 'confectionery', 'restaurant', 'food_store', 'store', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Baierpl. 4, 82131 Gauting, Germany",48.0914097,11.4084319
ChIJcfkBCsnZnUcRZ2SguRS_mj8,6,EAT HAPPY,meal_takeaway,"['meal_takeaway', 'sushi_restaurant', 'japanese_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Hainbuchenring 13, 82061 Neuried, Germany",48.088225,11.460628999999999
