id,name,types,reviewsLink,primaryType
ChIJA_PuHnPwmUcRvwRYy8yGfdg,"{'text': 'Hofladen Kemmler', 'languageCode': 'de'}","bakery, breakfast_restaurant, restaurant, food_store, store, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799f0731eeef303:0xd87d86cccb5804bf!9m1!1b1,bakery
ChIJA_PuHnPwmUcRjsZYfTvJ-ZQ,"{'text': 'Landgut Kemmler', 'languageCode': 'de'}","farmstay, coffee_shop, cafe, lodging, event_venue, restaurant, wholesaler, grocery_store, food_store, store, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799f0731eeef303:0x94f9c93b7d58c68e!9m1!1b1,farmstay
ChIJ408GZzjwmUcRiwbNgTXYfMc,"{'text': 'Gasthof Kompf', 'languageCode': 'de'}","restaurant, point_of_interest, food, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799f03867064fe3:0xc77cd83581cd068b!9m1!1b1,restaurant
ChIJY4I8Je38mUcR-0CAwesMdWk,"{'text': ""Gasthof Hotel Rössle & Gerry's Steakhouse"", 'languageCode': 'de'}","inn, steak_house, hotel, lodging, event_venue, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fced253c8263:0x69750cebc18040fb!9m1!1b1,inn
ChIJR_Kkbuv8mUcRIxl8cm8Sjig,"{'text': 'Besenwirtschaft Sieß', 'languageCode': 'de'}","restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fceb6ea4f247:0x288e126f727c1923!9m1!1b1,restaurant
ChIJQS69Gk_7mUcRKNZFcYeFOnI,"{'text': 'Ayla Pizza&Kebap', 'languageCode': 'de'}","restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fb4f1abd2e41:0x723a85877145d628!9m1!1b1,restaurant
ChIJNaEqSGT7mUcRu73mZS05U6g,"{'text': 'Gasthof Goldener Löwe', 'languageCode': 'de'}","italian_restaurant, pizza_restaurant, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fb64482aa135:0xa853392d65e6bdbb!9m1!1b1,italian_restaurant
ChIJD8qT8qX7mUcRNPwWmhNddgA,"{'text': 'Memo Döner & Pizza Tübingen', 'languageCode': 'de'}","turkish_restaurant, meal_delivery, food_delivery, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fba5f293ca0f:0x765d139a16fc34!9m1!1b1,turkish_restaurant
ChIJf67tt936mUcRgzFJHEdI4y0,"{'text': 'Berivan Pizza & Kebap', 'languageCode': 'de'}","pizza_restaurant, fast_food_restaurant, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799faddb7edae7f:0x2de348471c493183!9m1!1b1,restaurant
ChIJ52cubMVXl0cR0gcqIB2q9Q8,"{'text': 'Giglio Ristorante & Pizzeria', 'languageCode': 'de'}","italian_restaurant, restaurant, point_of_interest, food, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x479757c56c2e67e7:0xff5aa1d202a07d2!9m1!1b1,italian_restaurant
ChIJwynSXrr6mUcRJDnNNZkD1UU,"{'text': 'Little India Restaurant', 'languageCode': 'de'}","indian_restaurant, meal_takeaway, food_delivery, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799faba5ed229c3:0x45d5039935cd3924!9m1!1b1,indian_restaurant
ChIJ7azpnTnwmUcRVWTjwZxS2cI,"{'text': 'crepes creatives', 'languageCode': 'de'}","restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799f0399de9aced:0xc2d9529cc1e36455!9m1!1b1,restaurant
