,restaurant_id,containing_places,phone_number,website_uri,opening_hours,price_level,price_range,google_rating,google_user_rating_count
99,ChIJm7waYdT6mUcRxPFyE982gE0,,,,"{""Monday"": {""open"": ""12:00"", ""close"": ""19:00""}, ""Wednesday"": {""open"": ""12:00"", ""close"": ""22:30""}, ""Thursday"": {""open"": ""12:00"", ""close"": ""22:30""}, ""Friday"": {""open"": ""12:00"", ""close"": ""22:30""}, ""Saturday"": {""open"": ""12:00"", ""close"": ""0:00""}, ""Sunday"": {""open"": ""12:00"", ""close"": ""0:00""}}",PRICE_LEVEL_MODERATE,"{'startPrice': {'currencyCode': 'EUR', 'units': '10'}, 'endPrice': {'currencyCode': 'EUR', 'units': '20'}}",4.5,1033.0
100,ChIJbxg5UNT6mUcRY_RPFW_mgjg,,+49 7071 22466,http://krumme-brücke.de/,"{""Monday"": {""open"": ""12:00"", ""close"": ""23:00""}, ""Tuesday"": {""open"": ""11:30"", ""close"": ""23:00""}, ""Wednesday"": {""open"": ""11:30"", ""close"": ""23:00""}, ""Thursday"": {""open"": ""11:30"", ""close"": ""23:00""}, ""Friday"": {""open"": ""11:30"", ""close"": ""23:00""}, ""Saturday"": {""open"": ""11:30"", ""close"": ""23:00""}, ""Sunday"": {""open"": ""11:30"", ""close"": ""23:00""}}",PRICE_LEVEL_MODERATE,"{'startPrice': {'currencyCode': 'EUR', 'units': '20'}, 'endPrice': {'currencyCode': 'EUR', 'units': '30'}}",4.3,1448.0
114,ChIJ5bNxBdP6mUcRoihNgmDzZl4,,+49 7071 8597192,https://www.instagram.com/esszimmer.essen.trinken.sein,"{""Tuesday"": {""open"": ""11:30"", ""close"": ""20:00""}, ""Wednesday"": {""open"": ""11:30"", ""close"": ""20:00""}, ""Thursday"": {""open"": ""11:30"", ""close"": ""20:00""}, ""Friday"": {""open"": ""11:30"", ""close"": ""20:00""}, ""Saturday"": {""open"": ""11:30"", ""close"": ""20:00""}, ""Sunday"": {""open"": ""11:30"", ""close"": ""20:00""}}",,"{'startPrice': {'currencyCode': 'EUR', 'units': '1'}, 'endPrice': {'currencyCode': 'EUR', 'units': '10'}}",4.7,969.0
119,ChIJ8dHXli3lmUcRbSsbGrUNotc,,+49 7071 256408,http://www.saints-and-scholars.de/,"{""Monday"": {""open"": ""10:00"", ""close"": ""0:00""}, ""Tuesday"": {""open"": ""10:00"", ""close"": ""1:00""}, ""Wednesday"": {""open"": ""10:00"", ""close"": ""1:00""}, ""Thursday"": {""open"": ""10:00"", ""close"": ""1:00""}, ""Friday"": {""open"": ""10:00"", ""close"": ""1:00""}, ""Saturday"": {""open"": ""10:00"", ""close"": ""1:00""}, ""Sunday"": {""open"": ""10:00"", ""close"": ""1:00""}}",PRICE_LEVEL_MODERATE,"{'startPrice': {'currencyCode': 'EUR', 'units': '10'}, 'endPrice': {'currencyCode': 'EUR', 'units': '20'}}",4.1,1414.0
121,ChIJYR6MeNP6mUcRX0PfqXYXqks,,+49 7071 52171,,"{""Tuesday"": {""open"": ""11:00"", ""close"": ""21:00""}, ""Wednesday"": {""open"": ""11:00"", ""close"": ""21:00""}, ""Thursday"": {""open"": ""11:00"", ""close"": ""21:00""}, ""Friday"": {""open"": ""11:00"", ""close"": ""21:00""}, ""Saturday"": {""open"": ""11:00"", ""close"": ""21:00""}, ""Sunday"": {""open"": ""11:00"", ""close"": ""21:00""}}",PRICE_LEVEL_INEXPENSIVE,"{'startPrice': {'currencyCode': 'EUR', 'units': '1'}, 'endPrice': {'currencyCode': 'EUR', 'units': '10'}}",4.8,1044.0
