restaurant_id,curbside_pickup,delivery,dine_in,live_music,outdoor_seating,reservable,restroom,serves_beer,serves_breakfast,serves_brunch,serves_cocktails,serves_coffee,serves_dessert,serves_dinner,serves_lunch,serves_vegetarian_food,serves_wine,takeout,allows_dogs,good_for_children,good_for_groups,good_for_watching_sports,menu_for_children,free_parking_lot,paid_parking_lot,free_street_parking,paid_street_parking,free_garage_parking,paid_garage_parking,valet_parking,accepts_debit_cards,accepts_credit_cards,accepts_cash_only,accepts_nfc,wheelchair_accessible_restroom,wheelchair_accessible_entrance,wheelchair_accessible_parking,wheelchair_accessible_seating
ChIJ408GZzjwmUcRiwbNgTXYfMc,,False,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,,True,,,,,True,True,False,True,True,True,True,True
ChIJY4I8Je38mUcR-0CAwesMdWk,,False,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,True,False,,,True,True,
ChIJR_Kkbuv8mUcRIxl8cm8Sjig,,False,True,False,,,True,False,,False,False,True,,True,,,True,,True,True,True,False,False,,,,,,,,,,,,,,True,
ChIJQS69Gk_7mUcRKNZFcYeFOnI,True,True,True,False,True,,True,,,,,,,True,True,,,True,,True,True,,,True,,,,,,,False,False,True,False,,,,
ChIJNaEqSGT7mUcRu73mZS05U6g,,False,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,,,,,,,,True,False,,,,True,True
ChIJ1ZN5p1X7mUcRZw17Vfp1M_Y,,False,True,False,True,True,True,True,False,,,True,True,True,True,True,True,True,,True,True,False,,True,,,,,,,True,,False,True,,False,,
ChIJV8BMYOf6mUcRopufG6bi_uA,,False,True,False,True,True,True,True,False,,,True,True,True,True,True,True,True,,True,True,False,True,,,,,,,,True,True,False,True,,False,,
ChIJD8qT8qX7mUcRNPwWmhNddgA,True,True,True,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
ChIJf67tt936mUcRgzFJHEdI4y0,,,True,False,,False,,,False,False,,,False,True,True,False,False,True,,True,True,,False,True,,,,,,,,,True,,,False,,False
ChIJF2Wg93H7mUcRfK_KN-0yTRI,True,,True,False,True,True,True,True,,,True,True,True,True,True,True,True,True,True,True,True,False,False,,,,True,,,,True,True,False,,,,,
ChIJqRyU3BL7mUcRutt7WumEOI0,True,True,True,False,,,False,False,,False,False,True,True,True,True,True,False,True,,True,,False,False,,True,,,,,,True,,False,True,,True,,False
ChIJwynSXrr6mUcRJDnNNZkD1UU,True,True,True,False,True,True,True,True,False,False,False,,True,True,True,True,,True,,True,True,False,False,,,,,,,,,,,,,,,True
ChIJ7azpnTnwmUcRVWTjwZxS2cI,,False,True,False,,,,True,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,,True,
ChIJefRj7Df7mUcRDoJ6nXNh-T4,False,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,True,,True,True,True,False,True,True,,True,,,,,True,True,False,False,,,True,True
ChIJSUfhKCz7mUcRkvW4DdzA1Ls,,False,True,False,True,True,True,True,False,False,True,True,True,True,True,,True,True,True,True,True,,True,True,,True,,,,,True,True,False,True,,True,True,True
ChIJD0eG3Sb7mUcR69WsfL5ysa4,False,False,True,False,True,True,True,True,False,,True,True,True,True,True,True,True,False,True,True,True,True,True,True,,True,,,,,True,,False,True,,True,True,True
ChIJayOhYw77mUcRFmVYqY50yOg,True,False,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,,True,True,False,True,True,True,True,,,,,True,True,False,True,True,True,True,True
ChIJx8_YONT6mUcRm0S4iRVGdMI,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,,,True,False,True,True,,,,,,,True,True,False,True,,,False,
ChIJC7HFCtT6mUcRob-ev5r2SjI,,False,True,False,True,True,True,True,False,False,,True,True,True,True,True,True,True,,True,True,False,True,False,,,,,,,True,True,False,True,,False,False,True
ChIJp-1HDbH7mUcRZ-0qgD-LR3w,True,False,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,,True,True,False,False,,,,,,,,True,True,False,True,False,True,False,True
ChIJhfpzRzb7mUcROSM0C5xqSfA,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,,True,,,,,,,True,True,False,True,,False,False,
ChIJPd27DNT6mUcRsJIx2HarEOQ,,False,True,False,True,True,True,True,True,True,True,True,True,,True,True,True,True,,,True,False,False,False,,False,,,,,True,True,False,True,,False,False,False
ChIJ71WmI9T6mUcRddh0j7VStjk,,False,True,,True,True,True,True,False,False,False,True,True,True,True,False,True,True,,True,True,False,,,,,,,,,,,,,,False,False,False
ChIJh7m47NX6mUcRgwbJLk1vDn0,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,,True,True,False,False,,True,,True,,,,True,,False,True,False,True,True,True
ChIJX4-gp9n6mUcR39N6fPlXA6I,True,True,True,False,True,True,True,True,True,True,False,True,True,,True,True,True,True,,True,True,False,False,,,,,,,,True,,False,True,,True,True,True
ChIJZygGFuj7mUcR0FJdppJTL7Q,True,True,True,False,,True,True,,True,,,True,True,True,True,True,,True,True,True,,True,True,True,True,False,True,False,True,False,True,True,False,True,False,True,True,True
ChIJPVbqNtL6mUcRr08MEmuJIgs,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,,True,True,False,True,,True,,True,,,,True,True,False,True,False,True,False,True
ChIJmxC1NAD7mUcR8QG5G9KY39c,True,True,True,,,,,,,,,,True,,,,True,True,,,,,,,,,,,,,,,,,,,,
ChIJzYSKNNL6mUcR2Q5TjncJPlo,,False,True,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True,,True,True,False,False,,True,,,,,,True,True,False,True,,,False,
ChIJ62MugdH6mUcR7IeaAY_mG24,,,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,False,,True,True,,True,,,,,True,False,,True,True,,True
ChIJZxHDkQH7mUcRRJJIquhKWAs,,True,True,False,True,,,,,False,,True,,True,True,True,,True,,True,True,False,False,,,,,,,,,,,,,,,
ChIJuZhzLaz7mUcR-RLZoGdZK-I,True,True,True,False,True,,,,,,,,,True,True,,,True,,True,True,False,False,,,,,,,,True,,False,True,,,,
ChIJizM6MAH7mUcR2jJcSvVhqD0,,False,True,False,,True,True,True,,True,,True,True,True,True,,True,True,,,True,,,,,,,,,,,,False,,,,,
ChIJ5xBo29H6mUcRhd1Q5HIO8MA,True,,True,False,True,False,True,True,True,False,True,True,True,True,True,True,False,True,,True,True,False,True,,,,True,,,,,True,False,,True,True,True,True
ChIJ--n1SdL6mUcRpASGRErF91k,,False,True,False,False,,False,False,False,False,False,False,,True,True,,False,True,,,,False,False,,,,,,,,,,,,,,False,False
ChIJhYDLOdL6mUcRL47TQ1nM7gU,False,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,False,,True,True,True,False,True,,True,,True,,True,,False,True,False,True,True,True,False,True
ChIJfe6Lh9H6mUcRgmQtePU9rSw,True,True,True,False,True,False,True,False,,False,False,True,True,True,True,,False,True,,True,True,False,False,,True,,,,,,True,,False,True,True,True,,True
ChIJKc8JAdH6mUcRaqU7PHUId9Q,,,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,,True,,,,,,,,,True,False,,True,True,True,True
ChIJCQ0dq437mUcRIhvpIGfxWiI,,True,True,False,True,False,True,False,,False,False,,True,True,True,,False,True,,True,,False,False,,,,,,,,True,,False,True,,,,
ChIJI6CVktP6mUcRdoklZ-0caeA,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,,True,False,False,False,,False,,,,,True,True,False,True,,False,False,
ChIJJYpsxbH7mUcRJ3qMsP8OmhY,False,False,True,False,True,True,True,True,True,True,,True,True,True,True,True,True,True,,True,True,False,False,,True,,True,,True,,True,,False,True,,True,,True
ChIJMTjKcn_7mUcRN2rN8A4_YZc,True,True,True,False,True,True,True,True,,,True,True,True,True,True,True,True,True,,True,True,False,,True,,,,,,,True,True,False,True,,True,,True
ChIJP2j5YRb7mUcRvlrJted0Q_c,,False,True,False,False,,,False,,False,False,,,True,True,,False,True,,True,True,False,,True,,,,True,,,True,True,False,True,,,,
ChIJgbc7VAD7mUcRFK-2BDoQmI8,True,False,True,False,,,,,,,,True,,,,,,True,,True,,False,False,,,,,,,,,,,,,,,
ChIJNzGjDMj6mUcRtAM9feNOR_o,False,True,True,False,False,False,,False,False,False,False,False,,True,True,True,False,True,,True,,False,False,True,,,,True,,,True,,False,True,,True,True,True
ChIJ1YL7FMj6mUcRusMCXLdm5JI,,False,True,False,,True,,True,False,False,,True,,True,True,,True,True,,True,,False,,,,,,,,,True,,False,True,,True,True,True
ChIJRZ6stsn6mUcR9Xazz9KPi4Y,,,True,False,True,False,True,True,False,False,,True,False,True,True,False,False,True,,True,True,False,False,True,,,,,,,True,,False,True,,True,True,True
ChIJa8lCtLP6mUcRDmCYosD7Ozk,,False,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,,True,True,False,True,True,,True,,,,,,True,False,,True,True,True,True
ChIJE5A7XwD7mUcRo1kHbllmqWs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChIJz36Zt7r7mUcRFRTWt7AqvHM,True,,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,,True,True,False,,,True,,True,,,,True,True,False,True,,True,,True
ChIJ688m6Q77mUcRgGyaJljddKs,,True,True,False,,,,,,,,,,True,True,,,True,,True,,False,,,,,,,,,,,,,,,,
ChIJS2PzG4n7mUcRkLDEHydEi_0,True,True,True,False,,,True,,,,,,,True,True,,,True,,True,,,,,,,,,,,,,,,,,,
ChIJcxCnJsHxmUcRytI8wyoNivk,,True,True,False,True,True,True,True,True,False,False,True,False,True,True,True,,True,,True,True,False,False,True,,True,,,,,True,True,False,True,,True,True,True
ChIJFT2wv8DvmUcRCZn_Fe_ieMA,False,True,True,False,True,True,True,True,False,False,False,True,True,True,True,False,True,True,True,True,True,False,,True,,True,,,,,False,,True,False,False,False,False,False
ChIJw_pHyuHvmUcRk7YxCvcKsuY,,False,True,False,True,True,True,True,True,,False,True,True,True,True,False,True,True,True,True,True,False,True,True,,True,,,,,,True,False,,True,True,True,True
ChIJqyQigITvmUcRH53hnYXytbw,True,True,True,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
ChIJ__8LtM78mUcRcAT-4qM_S-w,True,True,True,False,True,False,True,True,False,False,False,True,False,True,True,True,False,True,True,True,True,False,True,True,,True,,,,,True,,False,True,,False,,True
ChIJYaIpZrT8mUcR_skNcYIxOvE,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,True,False,,,,True,
ChIJSzCy1M38mUcRVWSmSvdyhrM,,,True,False,True,True,True,True,False,,,True,True,True,True,,True,True,True,True,True,,True,True,,True,,,,,,True,False,,,,True,True
ChIJJwv_GjX7mUcRBqUKy2UwLVo,True,False,True,False,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,True,False,True,True,,True,,,,,True,True,False,True,,True,True,True
ChIJe9Db17D7mUcRlW40zvrs5Jc,True,False,True,True,True,True,True,True,False,,True,True,True,,,False,True,,,False,True,True,,,,,,,,,,,,,,True,,True
ChIJP_9lmxz7mUcRelv5YnPMnH8,True,True,True,False,,False,,False,,False,False,,True,True,True,,False,True,,,,False,False,,,,,,,,True,True,False,True,,,,
ChIJjX6b37j7mUcR76qIt43y1mY,,,True,False,,,,False,,,False,False,True,True,True,True,,True,,,,False,,,,,,,,,True,,False,,,True,,
ChIJsdMa-Mv5mUcRXIWM1xoh7OU,True,True,False,False,,,,,,False,,,,True,True,,,True,,True,,,,True,,,,,,,,True,False,,,,,
ChIJ2RLhhi37mUcR3Ib6lzocwd4,,False,True,,,,,,True,,,True,,,,,,True,,,,,,True,,True,,,,,True,False,False,True,,True,True,
ChIJS-F3I9v7mUcR3LEzf9zMT3Q,,False,True,False,True,True,True,True,False,False,,True,True,True,True,True,True,,True,True,True,False,,,,,,,,,True,True,False,True,,False,False,True
ChIJm7waYdT6mUcRxPFyE982gE0,True,False,True,False,True,True,True,True,,False,False,True,False,True,True,False,False,True,True,True,True,False,False,,,,,,,,True,,False,True,,False,False,
ChIJbxg5UNT6mUcRY_RPFW_mgjg,,False,True,False,True,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,,,,,,,True,True,False,True,False,True,False,True
ChIJk3Y4aNT6mUcR2EM9uIhX7jA,True,False,True,False,True,True,True,True,False,,False,True,True,True,True,True,True,True,True,True,True,False,False,,,,,,,,True,True,False,True,,,False,
ChIJScMsmdH7mUcRgH4wwvEX6fA,,False,True,False,False,False,False,False,,False,False,False,False,True,True,True,False,True,,,,False,False,,,,,,,,,,,,,,,
ChIJh1I8Olz7mUcR_2HEc2I1Hdk,True,False,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,,True,True,False,False,,,,True,,,,True,True,False,True,,False,False,
ChIJKaszZ9T6mUcR8N35L-N12yE,,False,True,False,,False,True,True,,False,False,True,False,True,True,False,,True,,True,True,False,False,,,,,,,,,,True,,False,True,False,
ChIJ9UfZazf7mUcRkr_CR2lfeCs,,False,True,False,,False,,,,False,,,,True,True,,,True,,True,,False,False,,,,,,,,,,True,,,,,
ChIJR-qD39T6mUcR-BZbH4SLbmk,,True,True,,True,,True,False,False,,,False,True,True,True,True,False,True,,True,True,,True,,True,,True,,True,,True,,False,True,,True,,
ChIJoyQjbSr7mUcR60G1VPy0I3g,,False,True,False,True,False,True,False,False,False,False,False,True,True,True,True,False,True,,True,,False,True,,,,True,,,,,,True,,False,True,False,True
ChIJvRZrMCv7mUcRVFhflbgx6fU,,False,True,False,True,True,True,True,False,False,False,True,True,True,True,,True,True,,True,True,False,False,True,,True,,,,,,,,,False,False,,False
ChIJvXdF6ir7mUcRN0DV2i7M_6A,,True,True,False,True,False,True,,,False,False,True,True,True,True,False,False,True,,True,True,False,False,,,True,,,,,True,,False,True,False,,,False
ChIJc-huVdT6mUcR81h3AxKXJVw,,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,,,False,True,False,False,,True,,,,,,True,True,False,True,False,False,False,True
ChIJAX3cZNT6mUcRZt1F8PcjdsQ,,False,True,False,True,True,True,True,True,True,False,True,True,,True,True,True,True,True,True,True,False,,False,,,,,,,True,,False,True,,False,False,
ChIJ08MPzIj7mUcRScn8KV8J5JQ,True,True,True,False,True,,False,,False,False,,,True,True,True,True,,True,,True,True,False,False,,,,,,,,True,,False,True,,,,
ChIJZ9kADtP6mUcRF3IM1orJ8aI,,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,True,,,True,True,False,True,,,,,,,,True,True,False,True,,,False,True
ChIJ5bNxBdP6mUcRoihNgmDzZl4,,False,True,False,False,False,True,False,,False,False,True,,True,True,True,False,True,,True,True,False,False,False,,False,True,,,,,,False,,False,False,False,False
ChIJ_TOtsC3lmUcRvMRDRc_DsYQ,,,True,False,,False,,,False,False,,True,True,True,True,True,,True,,True,,False,False,,,,,,,,,,True,,,,,
ChIJRzFgy-PlmUcRzLsMfKylwKU,True,,True,False,,,,,,,,,,True,True,True,,True,,True,,False,,,,,,,,,True,,False,True,,,,
ChIJjV18-gf7mUcR8beCFXcUfCg,,True,True,False,True,False,,False,,False,False,False,,True,True,,False,True,,True,True,False,False,,,,,,,,,,False,,,,False,
ChIJpTQs8kf7mUcRu0kj6vnrsKY,,False,True,False,False,True,True,True,,False,False,,True,True,True,True,,True,,True,True,False,False,,True,,,,,,,,True,,,False,False,
ChIJ8dHXli3lmUcRbSsbGrUNotc,True,False,True,,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,,True,True,False,,True,,,,,,True,True,False,True,True,True,True,True
ChIJ_dVnFhvlmUcRfhmfBNArRdk,,True,True,,,,,,,,,,,True,True,,,True,,True,,,,True,True,,,,,,,,,,,,,
ChIJYR6MeNP6mUcRX0PfqXYXqks,,False,True,False,True,False,True,False,False,False,False,False,False,True,True,True,False,True,,True,,False,False,False,,,,,,,,,True,,False,False,False,False
ChIJje5bKfDlmUcRC8fNgelZCOk,True,True,True,,,,,,,,,,,True,True,,,True,,True,True,,,,,,,,,,True,,False,True,,,,
ChIJwy8qMhn7mUcRFbNaz1fkoPs,True,,True,False,,,True,,,,,True,True,True,True,,,True,,,True,False,,,,,,,,,,,,,,,,
ChIJn5ANpsv7mUcRGS2GWvH2-qs,True,False,True,False,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,False,,,True,,,,True,,,True,False,,True,True,,True
ChIJzSXehNP6mUcR1zxxeaopBXM,,,True,False,False,False,False,False,,False,False,,,True,True,True,False,True,,,,False,False,,,,,,,,,,,,,True,,
ChIJg0VvmC3lmUcRIg_4wHp7_as,True,False,True,False,True,True,True,True,True,,True,True,True,True,True,True,True,True,,True,True,False,False,,,,,,,,True,True,False,True,False,False,False,True
ChIJkcyzhNP6mUcRtktmko5aqu4,,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,False,,False,,False,,,,,False,False,True,False,False,False,False,True
ChIJQ4bnEdP6mUcR3w2eH4yFf1c,,,True,False,False,False,False,False,False,False,,,False,True,True,True,,True,,True,,False,False,,,,,,,,,,True,,,False,False,False
ChIJ1bE7WkD7mUcRTodotd8jEoI,True,False,True,False,,,True,,,,,True,,,True,,,True,,True,,False,,,,,,,,,,,True,,,,,True
ChIJ74HsYgD7mUcRX5dxelNMtJc,,,True,False,,,,,,,,,,,,True,,True,,,True,False,,,,,,,,,,,False,,,,,
ChIJ8WhdiDT7mUcRJ77WT23aNh8,True,True,True,False,False,,False,False,,,False,,,True,True,True,False,True,,True,,False,False,,,,,,,,True,,False,True,,,False,
ChIJR70z35n7mUcRCflCXpWQqGc,,,True,False,,True,True,True,,,True,True,True,True,True,True,True,True,,True,True,False,,,,,,,,,,,True,,,,,True
ChIJFbyBpqzlmUcRsrS4bNxZiQQ,True,True,True,True,True,True,True,True,,,True,True,True,True,,True,True,True,,True,True,True,,True,,,,,,,True,,False,True,,,,
ChIJM6uNUkjlmUcRMfZcvy5-RZQ,,False,True,False,True,True,True,True,False,False,True,True,True,True,True,,True,True,,,True,False,False,,,,,,,,True,True,False,True,False,,False,False
ChIJP0jxB6TlmUcRf1HFfU3YNGY,,True,True,False,True,True,True,True,,,True,True,True,True,True,True,True,True,,True,True,False,,,,True,,,,False,True,True,False,True,,,,
ChIJ3aQPnUnlmUcRzkmnkC2_IH4,True,False,True,False,True,True,True,True,False,False,True,True,,True,True,True,True,True,True,True,True,False,,True,,True,,,,,True,True,False,True,False,False,,
ChIJoUYu3kzlmUcRvZlFPGwwndg,False,,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,,,,,,,True,True,False,True,,True,True,True
ChIJC-BPdEnlmUcRej3fAMmVk7s,,False,True,,True,True,True,True,,True,True,True,True,True,True,True,True,True,,True,,,True,,,,,,,,True,True,False,,,True,,
ChIJ7QTcxknlmUcRG-l-4dpdfps,True,True,True,False,True,,True,True,False,False,,,True,True,True,,True,True,,True,,False,,,,,,,,,,,,,,False,False,
