id,name,curbsidePickup,delivery,dineIn,evChargeOptions,fuelOptions,liveMusic,parkingOptions,paymentOptions,outdoorSeating,reservable,restroom,servesBeer,servesBreakfast,servesBrunch,servesCocktails,servesCoffee,servesDessert,servesDinner,servesLunch,servesVegetarianFood,servesWine,takeout
ChIJ7Xg1psXkmUcRV6_twhzPxrw,"{'text': 'mensa infopoint', 'languageCode': 'en'}",,,True,,,False,,{'acceptsCashOnly': False},,,,,,,,,,,,,,
ChIJu9cZ7YvlmUcRRPS7OxAUI6k,"{'text': 'Spicetripping Foodtruck', 'languageCode': 'de'}",,False,True,,,False,,,,,,,False,True,,,True,False,True,True,,True
ChIJR5q2bpTlmUcR1piHipJGNR0,"{'text': 'Faros - eine Ouzo Philosophie', 'languageCode': 'de'}",,False,True,,,False,{'freeParkingLot': True},"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,True,True,False,False,True,True,True,True,True,True,True,True
ChIJS41IiCblmUcRPdcnWt4Nixg,"{'text': 'Max-Planck-Haus', 'languageCode': 'de'}",False,False,True,,,False,,"{'acceptsCreditCards': True, 'acceptsCashOnly': False}",True,,True,True,True,False,False,True,True,,True,True,False,True
ChIJG0vPRLPlmUcRoKUqhj2hJD0,"{'text': 'Yellow Donkey - Greek Cantine', 'languageCode': 'en'}",,False,True,,,,,{'acceptsCashOnly': False},True,,True,,,,,,,True,True,,,True
ChIJ1af7iUjlmUcR8WaWMmlD4oY,"{'text': 'Café/Bistro Backstein', 'languageCode': 'de'}",,False,True,,,False,,"{'acceptsDebitCards': False, 'acceptsCashOnly': True, 'acceptsNfc': False}",True,True,True,True,True,True,,True,True,,True,True,True,True
ChIJXfSTCkjlmUcRcqn42kwRveI,"{'text': 'Roma Pizza Service', 'languageCode': 'en'}",,True,True,,,,,,,,,,,,,,,,,,,True
ChIJ6aEkk_7lmUcRCLa65OvMH-M,"{'text': 'Liki Burger', 'languageCode': 'de'}",,True,True,,,False,,"{'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",,,,,,,,,,True,True,,,True
ChIJX1SOPxnlmUcRTx2RPioMClc,"{'text': 'Lustnauer Imbiss', 'languageCode': 'de'}",,False,True,,,False,"{'freeParkingLot': True, 'freeStreetParking': True}","{'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",False,False,True,,False,False,,True,False,True,True,,,True
ChIJ_VpZalvlmUcRoBsbqcaz3S4,"{'text': 'Bella Vista', 'languageCode': 'de'}",,False,True,,,False,"{'freeParkingLot': True, 'freeStreetParking': True}","{'acceptsCreditCards': False, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,True,True,False,False,False,True,True,True,True,,True,True
